city,state,population,latitude,longitude,town_matches,state_matches,city_matches,country_matches
Yuma,AZ,95548,32.713,-114.625,1,0,0,0
Livonia,MI,95535,42.376,-83.353,4,0,0,0
St George,UT,95342,37.108,-113.583,5,0,0,0
Reading,PA,95112,40.335,-75.928,8,0,1,0
Lawrence,KS,94934,38.971,-95.236,7,0,0,0
San Marcos,CA,94833,33.141,-117.166,1,0,4,0
Erie,PA,94831,42.129,-80.085,3,0,0,0
Asheville,NC,94589,35.595,-82.552,3,0,0,0
Edmond,OK,94428,35.655,-97.481,1,0,0,0
Fall River,MA,94000,41.702,-71.155,2,0,0,0
Fayetteville,AR,93949,36.063,-94.161,8,0,0,0
Redding,CA,93611,40.586,-122.39,8,0,1,0
Santa Monica,CA,93076,34.019,-118.491,0,0,1,0
Tracy,CA,93000,37.74,-121.426,2,0,0,0
Roswell,GA,92833,34.022,-84.359,2,0,0,0
South Gate,CA,92726,33.955,-118.212,2,0,1,0
Hamilton,NJ,92297,40.222,-74.686,17,0,5,0
Kirkland,WA,92175,47.675,-122.203,1,0,1,0
Plantation,FL,91750,26.121,-80.252,1,0,0,0
Buckeye,AZ,91502,33.371,-112.583,1,0,0,0
Bellingham,WA,91482,48.75,-122.479,2,0,0,0
Chino,CA,91403,34.012,-117.689,0,0,1,0
Nashua,NH,91322,42.765,-71.468,3,0,0,0
OFallon,MO,91316,38.811,-90.7,1,0,0,0
Norwalk,CT,91184,41.13,-73.429,4,0,0,0
Westminster,CA,90911,33.759,-118.007,6,0,1,0
Trenton,NJ,90871,40.22,-74.766,14,0,0,0
Mount Pleasant,SC,90801,32.792,-79.872,10,0,0,0
Lawton,OK,90381,34.605,-98.392,3,0,0,0
Clifton,NJ,90296,40.867,-74.154,9,0,0,0
Bloomington,MN,89987,44.841,-93.298,5,0,0,0
Avondale,AZ,89334,33.435,-112.35,2,0,0,0
Lawrence,MA,89143,42.708,-71.162,7,0,0,0
Newton,MA,88923,42.337,-71.208,11,0,0,0
Santa Barbara,CA,88665,34.421,-119.702,0,0,9,0
Hawthorne,CA,88083,33.916,-118.353,2,0,0,0
Livermore,CA,87955,37.682,-121.768,4,0,0,0
Greenville,NC,87521,35.611,-77.373,16,0,1,0
Santa Fe,NM,87505,35.687,-105.939,1,0,6,0
Ogden,UT,87321,41.221,-111.972,4,0,0,0
Whittier,CA,87306,33.979,-118.033,1,0,0,0
Troy,MI,87294,42.606,-83.15,17,0,0,0
Auburn,WA,87256,47.307,-122.229,16,0,0,0
Duluth,MN,86697,46.788,-92.099,1,0,0,0
Danbury,CT,86518,41.408,-73.468,5,0,1,0
Lake Forest,CA,85858,33.647,-117.686,1,0,0,0
Medford,OR,85824,42.327,-122.872,6,0,0,0
Mission,TX,85778,26.216,-98.326,2,0,1,0
Cicero,IL,85268,41.846,-87.754,1,0,0,0
Melbourne,FL,84678,28.08,-80.604,3,0,1,0
San Ramon,CA,84605,37.776,-121.978,0,0,3,0
Springdale,AR,84161,36.185,-94.129,5,0,0,0
Bryan,TX,83980,30.674,-96.373,1,0,1,0
Franklin,TN,83454,35.925,-86.869,32,0,0,0
Alhambra,CA,82868,34.095,-118.127,1,0,0,0
Warwick,RI,82823,41.699,-71.46,5,0,2,0
