name,phoneme,starter
Atlas,0207,
Atoka,0208,2
Attica,0209,
Atwater,0210,
Atwood,0211,
Au Sable,0212,
Aubrey,0213,
Auburn,0214,5
Auburndale,0215,
Audubon,0216,
Audubon Park,0217,
Augsburg,0218,
Augusta,0219,2
Aura,0220,
Aurelius,0221,
Aurora,0222,3
Austerlitz,0223,
Austin,0224,2
Ava,0225,
Avalon,0226,2
Avera,0227,
Avery,0228,
Avilla,0229,
Avis,0230,
Avoca,0231,
Avon,0232,
Avondale,0233,
Axtell,0234,
Ayer,0235,
Aztec,0236,
Baden,0237,
Badger,0238,
Bagdad,0239,
Bagley,0240,
Bailey,0242,
Baileyton,0243,
Baileyville,0244,
Bainbridge,0245,
Baird,0246,
Baker,0247,
Bakersfield,0248,
Bakersville,0249,
Baldwin,0250,
Baldwin Park,0251,
Ballard,0252,
Ballston,0253,
Baltic,0254,
Baltimore,0255,
Bancroft,0256,
Bangor,0257,
Bangs,0258,
Banks,0259,
Bankston,0260,
Barberton,0261,
Barboursville,0262,
Barclay,0264,
Bardwell,0265,
Baring,0266,
Barker,0267,
Barlow,0268,
Barnard,0269,
Barnes,0270,
Barnesville,0271,
Barneveld,0272,
Barney,0273,
Barnhart,0274,
Barnum,0275,
Barre,0276,
Barrett,0277,
Barrington,0279,3
Barry,0278,
Barstow,0280,
Bartlett,0281,2
Bartley,0282,
Barton,0283,
Bartonville,0284,
Bartow,0285,
Barview,0286,
Basalt,0287,
Bascom,0288,
Basin,0289,
Bass Lake,0290,
Bassett,0291,
Bastrop,0292,
Batavia,0293,
Batesville,0294,
Bath,0295,
Battle Creek,0296,
Battle Ground,0297,
Baxter,0298,
Bay City,0299,
Bay Shore,0300,
Bay View,0301,
Bayard,0302,
Bayfield,0303,
Bayou Vista,0304,
Bayport,0305,
Bayshore,0306,
Bayside,0307,
Bayview,0308,
Bayville,0309,
Baywood,0310,
Beach,0311,
Beach City,0312,
Beachwood,0313,
Beacon,0314,
Beallsville,0315,
Bear,0316,
Bear Creek,0317,
Bear Lake,0318,2
Bear River,0319,
Bear Valley,0320,
Bearden,0321,
Beatrice,0322,
Beattie,0323,
Beatty,0323,
Beaufort,0324,
Beaumont,0325,2
Beauregard,0326,
Beaver,0327,
Beaver Creek,0328,
Beaver Dam,0329,
Beaverdale,0330,
Beaverdam,0331,
Beaverton,0332,
Beavertown,0333,
Bedford,0334,4
Bedminster,0335,
